"","gender","Age","Attitude","Deep","Stra","Surf","Points"
"1","F",53,37,43,27,31,25
"2","M",55,31,35,22,38,12
"3","F",49,25,42,29,27,24
"4","M",53,35,42,25,27,10
"5","M",49,37,44,29,34,22
"6","F",38,38,57,29,29,21
"7","M",50,35,46,18,23,21
"8","F",37,29,39,32,34,31
"9","M",37,38,52,34,26,24
"10","F",42,21,48,28,36,26
"11","M",37,39,43,29,32,31
"12","F",34,38,46,38,29,31
"13","F",34,24,51,29,27,23
"14","F",34,30,40,28,33,25
"15","M",35,26,50,14,28,21
"16","F",33,41,44,31,28,31
"17","F",32,26,49,11,35,20
"18","F",44,26,42,26,30,22
"19","M",29,17,49,24,45,9
"20","F",30,27,48,30,33,24
"21","M",27,39,47,21,28,28
"22","M",29,34,48,19,29,30
"23","F",31,27,48,29,36,24
"24","F",37,23,44,22,29,9
"25","F",26,37,44,14,34,26
"26","F",26,44,53,26,38,32
"27","M",30,41,47,32,36,32
"28","F",33,37,45,29,24,33
"29","F",33,25,39,23,42,29
"30","M",28,30,43,24,45,30
"31","M",26,34,59,13,30,19
"32","F",27,32,43,26,25,23
"33","F",25,20,35,28,29,19
"34","F",31,24,44,24,31,12
"35","M",20,42,54,26,19,10
"36","F",39,16,49,15,34,11
"37","M",38,31,46,35,22,20
"38","M",24,38,39,29,29,26
"39","M",26,38,28,20,39,31
"40","M",25,33,40,10,41,20
"41","F",30,17,49,32,41,23
"42","F",25,25,35,24,38,12
"43","M",30,32,40,20,42,24
"44","F",48,35,46,39,32,17
"45","F",24,32,44,40,29,29
"46","F",40,42,56,35,43,23
"47","M",25,31,45,26,25,28
"48","F",23,39,41,32,45,31
"49","F",25,19,50,25,35,23
"50","F",23,21,35,20,35,25
"51","M",27,25,50,25,29,18
"52","M",25,32,43,26,36,19
"53","M",23,32,34,17,41,22
"54","F",23,26,48,22,35,25
"55","F",23,23,35,19,39,21
"56","F",45,38,36,25,39,9
"57","F",22,28,49,32,28,28
"58","F",23,33,35,32,39,25
"59","M",21,48,42,18,30,29
"60","M",21,40,52,26,21,33
"61","F",21,40,51,29,27,33
"62","F",21,47,41,29,25,25
"63","F",26,23,37,20,34,18
"64","F",25,31,55,15,34,22
"65","F",26,27,41,16,29,17
"66","M",21,41,41,15,27,25
"67","F",23,34,41,32,34,28
"68","F",22,25,43,23,27,22
"69","F",22,21,19,31,22,26
"70","F",22,14,40,20,35,11
"71","F",23,19,52,22,35,29
"72","M",22,37,53,36,25,22
"73","M",23,32,58,27,28,21
"74","M",24,28,37,21,29,28
"75","F",22,41,36,33,33,33
"76","F",23,25,49,21,39,16
"77","M",22,28,49,18,21,31
"78","M",20,38,45,22,31,22
"79","M",22,31,37,24,40,31
"80","M",21,35,57,13,34,23
"81","F",22,36,51,15,30,26
"82","F",23,26,50,27,29,12
"83","M",21,44,53,30,29,26
"84","M",22,45,46,17,31,31
"85","M",29,32,40,19,36,19
"86","F",29,39,38,22,24,30
"87","F",21,25,38,25,41,12
"88","M",28,33,46,28,34,17
"89","F",21,33,51,21,27,18
"90","F",30,30,46,27,33,19
"91","F",21,29,44,18,47,21
"92","M",23,33,46,24,28,24
"93","F",21,33,46,32,33,28
"94","F",21,35,46,28,33,17
"95","F",20,36,44,21,35,18
"96","M",22,37,52,20,25,17
"97","M",21,42,45,30,44,23
"98","M",21,32,50,29,34,26
"99","F",20,50,48,33,41,28
"100","M",22,47,48,35,19,31
"101","F",20,36,55,21,35,27
"102","F",20,36,44,32,36,25
"103","M",24,29,44,22,35,23
"104","F",20,35,46,22,32,21
"105","F",19,40,31,11,36,27
"106","F",21,35,42,18,33,28
"107","F",21,32,37,29,37,23
"108","F",22,26,51,30,30,21
"109","F",25,20,38,32,28,25
"110","F",21,27,37,25,36,11
"111","F",22,32,50,26,36,19
"112","F",25,33,27,17,48,24
"113","F",20,39,40,23,39,28
"114","M",24,33,37,12,42,21
"115","F",20,30,33,20,42,24
"116","M",21,37,39,26,46,24
"117","F",20,25,48,29,35,20
"118","F",20,29,43,31,26,19
"119","M",31,39,49,31,20,30
"120","F",20,36,51,19,25,22
"121","F",22,29,41,24,34,16
"122","F",22,21,37,27,41,16
"123","M",21,31,42,22,40,19
"124","M",22,40,44,36,31,30
"125","F",21,31,51,21,34,23
"126","F",21,23,51,22,40,19
"127","F",21,28,46,26,36,18
"128","F",21,37,53,33,31,28
"129","F",20,26,42,27,29,21
"130","F",21,24,43,22,43,19
"131","F",25,30,44,33,25,27
"132","M",21,28,25,26,52,24
"133","F",24,29,51,23,32,21
"134","F",20,24,43,23,36,20
"135","M",21,31,48,19,32,28
"136","F",20,19,40,31,26,12
"137","F",20,20,42,17,32,21
"138","F",18,38,38,32,27,28
"139","F",21,34,43,26,32,31
"140","F",19,37,41,21,40,18
"141","F",21,29,51,22,42,25
"142","F",20,23,39,32,33,19
"143","M",21,41,53,24,24,21
"144","F",20,27,39,27,34,16
"145","F",21,35,47,31,42,7
"146","F",20,34,43,26,30,21
"147","F",18,32,54,27,38,17
"148","M",22,33,43,33,37,22
"149","F",22,33,44,28,35,18
"150","M",24,35,31,16,38,25
"151","F",19,32,50,29,30,24
"152","F",20,31,39,27,46,23
"153","F",20,28,52,17,27,23
"154","F",17,17,47,37,41,26
"155","M",19,19,32,20,45,12
"156","F",20,35,37,23,36,32
"157","F",20,24,45,22,31,22
"158","F",20,21,50,32,40,20
"159","F",20,29,50,19,34,21
"160","F",19,19,39,31,36,23
"161","F",19,20,49,27,34,20
"162","F",22,42,35,14,38,28
"163","M",35,41,46,24,33,31
"164","F",18,37,38,21,41,18
"165","F",19,36,41,21,36,30
"166","M",21,18,49,27,32,19
